# wave        flux         error        rest-wave
# Combined Miri LRS and Nirspec Spectrum of WISEAJ215949.54-480855.2
# Wl (um)     Flx (Jy)     Error (Jy)   Res(lambda/deltalambda)
 8.4033e-01   1.7046e-06   1.0186e-06   4.0934e+01
 8.5060e-01   7.9001e-07   1.0222e-06   4.0881e+01
 8.6114e-01   1.9412e-06   1.0131e-06   4.0300e+01
 8.7196e-01   1.3814e-06   1.0885e-06   3.9742e+01
 8.8308e-01   1.0502e-06   9.9770e-07   3.9209e+01
 8.9449e-01   2.2415e-06   9.7179e-07   3.8680e+01
 9.0620e-01   2.8648e-06   9.4531e-07   3.8167e+01
 9.1823e-01   3.2205e-06   9.6208e-07   3.7694e+01
 9.3057e-01   2.5935e-06   9.6644e-07   3.7229e+01
 9.4323e-01   3.6017e-06   9.5020e-07   3.6788e+01
 9.5620e-01   3.0937e-06   9.0103e-07   3.6380e+01
 9.6951e-01   4.0073e-06   8.6730e-07   3.5983e+01
 9.8315e-01   7.2684e-06   8.9162e-07   3.5613e+01
 9.9712e-01   1.1160e-05   9.1302e-07   3.5277e+01
 1.0114e+00   1.7671e-05   9.2359e-07   3.4964e+01
 1.0260e+00   2.3215e-05   9.2658e-07   3.4675e+01
 1.0410e+00   3.1720e-05   9.5261e-07   3.4413e+01
 1.0563e+00   3.7422e-05   9.5466e-07   3.4180e+01
 1.0719e+00   3.9267e-05   9.4810e-07   3.3978e+01
 1.0878e+00   3.3998e-05   9.2005e-07   3.3806e+01
 1.1041e+00   1.6090e-05   8.1756e-07   3.3661e+01
 1.1206e+00   4.3857e-06   7.0934e-07   3.3543e+01
 1.1375e+00   1.9097e-06   7.1076e-07   3.3461e+01
 1.1546e+00   1.7800e-06   7.1249e-07   3.3406e+01
 1.1721e+00   3.6630e-06   6.9675e-07   3.3383e+01
 1.1897e+00   9.3558e-06   7.1355e-07   3.3390e+01
 1.2077e+00   2.0272e-05   7.9099e-07   3.3426e+01
 1.2259e+00   3.6129e-05   8.6368e-07   3.3496e+01
 1.2443e+00   5.8928e-05   9.5573e-07   3.3593e+01
 1.2629e+00   8.1176e-05   1.0383e-06   3.3721e+01
 1.2817e+00   8.1505e-05   1.0684e-06   3.3880e+01
 1.3007e+00   5.4840e-05   9.7092e-07   3.4067e+01
 1.3199e+00   3.0553e-05   8.7913e-07   3.4282e+01
 1.3393e+00   9.6871e-06   7.8592e-07   3.4524e+01
 1.3587e+00   2.7318e-06   7.4568e-07   3.4796e+01
 1.3783e+00   1.4667e-06   7.6177e-07   3.5094e+01
 1.3980e+00   1.9160e-07   7.9258e-07   3.5418e+01
 1.4178e+00   7.4495e-07   8.0564e-07   3.5768e+01
 1.4376e+00   2.0114e-06   8.1259e-07   3.6143e+01
 1.4575e+00   2.8839e-06   8.1362e-07   3.6541e+01
 1.4775e+00   3.2317e-06   8.4126e-07   3.6962e+01
 1.4975e+00   4.7278e-06   8.7648e-07   3.7406e+01
 1.5175e+00   9.6685e-06   9.4511e-07   3.7872e+01
 1.5376e+00   2.5630e-05   1.0830e-06   3.8359e+01
 1.5576e+00   4.9134e-05   1.2015e-06   3.8865e+01
 1.5777e+00   6.8557e-05   1.3238e-06   3.9391e+01
 1.5977e+00   6.2969e-05   1.2921e-06   3.9935e+01
 1.6177e+00   3.1040e-05   1.1581e-06   4.0497e+01
 1.6376e+00   1.1807e-05   1.1310e-06   4.1077e+01
 1.6575e+00   7.3651e-06   1.0978e-06   4.1672e+01
 1.6774e+00   6.3923e-06   1.1166e-06   4.2284e+01
 1.6972e+00   5.5908e-06   1.1082e-06   4.2910e+01
 1.7170e+00   6.0991e-06   1.1234e-06   4.3551e+01
 1.7366e+00   7.0472e-06   1.1311e-06   4.4205e+01
 1.7562e+00   6.4552e-06   1.1645e-06   4.4873e+01
 1.7758e+00   2.6940e-06   1.1656e-06   4.5553e+01
 1.7952e+00   1.6948e-06   1.1940e-06   4.6245e+01
 1.8146e+00   2.3659e-06   1.2080e-06   4.6950e+01
 1.8339e+00   1.3419e-06   1.2165e-06   4.7665e+01
 1.8531e+00   6.7356e-07   1.2091e-06   4.8390e+01
 1.8722e+00   1.5510e-06   1.2503e-06   4.9125e+01
 1.8912e+00  -6.3845e-07   1.2849e-06   4.9869e+01
 1.9101e+00   1.3662e-06   1.2936e-06   5.0624e+01
 1.9289e+00   9.5804e-07   1.3389e-06   5.1389e+01
 1.9476e+00   2.3780e-06   1.3480e-06   5.2159e+01
 1.9663e+00   4.2290e-06   1.3636e-06   5.2938e+01
 1.9848e+00   4.6497e-06   1.3429e-06   5.3727e+01
 2.0032e+00   6.6547e-06   1.3975e-06   5.4522e+01
 2.0215e+00   8.4626e-06   1.4230e-06   5.5322e+01
 2.0397e+00   1.0251e-05   1.4464e-06   5.6132e+01
 2.0579e+00   1.0772e-05   1.4606e-06   5.6948e+01
 2.0759e+00   1.3937e-05   1.4842e-06   5.7769e+01
 2.0938e+00   1.3189e-05   1.5165e-06   5.8597e+01
 2.1116e+00   1.3424e-05   1.5413e-06   5.9430e+01
 2.1293e+00   1.2076e-05   1.5157e-06   6.0269e+01
 2.1469e+00   1.2393e-05   1.5338e-06   6.1113e+01
 2.1644e+00   1.1759e-05   1.5524e-06   6.1963e+01
 2.1819e+00   4.5674e-06   1.5524e-06   6.2817e+01
 2.1992e+00   4.3771e-06   1.6113e-06   6.3676e+01
 2.2164e+00   1.3533e-06   1.6225e-06   6.4540e+01
 2.2335e+00  -2.5935e-07   1.6651e-06   6.5406e+01
 2.2505e+00  -9.0432e-08   1.6264e-06   6.6280e+01
 2.2675e+00  -5.7232e-07   1.6704e-06   6.7155e+01
 2.2843e+00   1.1080e-06   1.6409e-06   6.8035e+01
 2.3011e+00   6.6923e-07   1.6274e-06   6.8920e+01
 2.3177e+00   9.7504e-07   1.6428e-06   7.2227e+01
 2.3331e+00  -5.7274e-07   1.6475e-06   7.3113e+01
 2.3496e+00  -5.1133e-07   1.7031e-06   7.1530e+01
 2.3660e+00  -1.3989e-06   1.6934e-06   7.2428e+01
 2.3823e+00  -2.9036e-07   1.7306e-06   7.3328e+01
 2.3985e+00   2.0366e-06   1.7087e-06   7.4231e+01
 2.4146e+00   2.2156e-06   1.7825e-06   7.5138e+01
 2.4306e+00   4.5384e-06   1.7862e-06   7.6047e+01
 2.4466e+00   5.2826e-06   1.8169e-06   7.6960e+01
 2.4624e+00   4.9308e-06   1.7969e-06   7.7874e+01
 2.4782e+00   6.1348e-06   1.8402e-06   7.8790e+01
 2.4939e+00   5.9071e-06   1.8337e-06   7.9710e+01
