# wave         flux         error        rest_wave
# Combined Miri LRS and Nirspec Spectrum of WISEJ150115.92-400418.4
# Wl (um)     Flx (Jy)     Error (Jy)   Res(lambda/deltalambda)
 7.9966e-01   4.5227e-06   1.2323e-06   4.3578e+01
 8.0884e-01   3.8394e-06   1.2290e-06   4.3494e+01
 8.1826e-01   2.1801e-06   1.2202e-06   4.2850e+01
 8.2793e-01   3.9976e-06   1.2246e-06   4.2219e+01
 8.3787e-01   7.0365e-06   1.2451e-06   4.1601e+01
 8.4807e-01   6.7865e-06   1.2914e-06   4.1001e+01
 8.5855e-01   1.1150e-05   1.2763e-06   4.0420e+01
 8.6931e-01   1.7296e-05   1.3163e-06   3.9849e+01
 8.8037e-01   2.0106e-05   1.3155e-06   3.9292e+01
 8.9172e-01   2.4356e-05   1.2936e-06   3.8764e+01
 9.0337e-01   3.0749e-05   1.3274e-06   3.8261e+01
 9.1533e-01   3.5097e-05   1.3112e-06   3.7769e+01
 9.2761e-01   3.6678e-05   1.3238e-06   3.7302e+01
 9.4020e-01   4.1778e-05   1.3794e-06   3.6859e+01
 9.5312e-01   5.2945e-05   1.3768e-06   3.6436e+01
 9.6636e-01   7.2613e-05   1.4143e-06   3.6041e+01
 9.7993e-01   9.7616e-05   1.5106e-06   3.5666e+01
 9.9383e-01   1.3093e-04   1.6487e-06   3.5317e+01
 1.0081e+00   1.6992e-04   1.7259e-06   3.4996e+01
 1.0226e+00   2.1926e-04   1.8609e-06   3.4703e+01
 1.0375e+00   2.7578e-04   2.0048e-06   3.4436e+01
 1.0528e+00   3.3835e-04   2.1199e-06   3.4198e+01
 1.0683e+00   3.8596e-04   2.2239e-06   3.3988e+01
 1.0842e+00   3.7103e-04   2.1474e-06   3.3806e+01
 1.1004e+00   2.4316e-04   1.7929e-06   3.3653e+01
 1.1169e+00   1.3331e-04   1.4260e-06   3.3532e+01
 1.1337e+00   1.0224e-04   1.2975e-06   3.3440e+01
 1.1508e+00   9.4475e-05   1.2559e-06   3.3378e+01
 1.1682e+00   1.1239e-04   1.3152e-06   3.3348e+01
